,compound_id,base_rdkit_smiles,relation,pXC50,active
0,INFXKGQBKNZHOQ-GXTWGEPZSA-N,N[C@H]1Cc2ccccc2[C@@H](c2ccc(Cl)c(Cl)c2)C1,,6.7569619513137065,1
1,YDNOASAJYGOBQG-CPWXKJDLSA-N,COC(=O)[C@@H]1C2CCC(C[C@@H]1c1ccc(SC)cc1)N2,,7.552841968657781,1
2,VPTOWUWJWIVXIJ-DYESRHJHSA-N,CNC[C@H]1Cc2ccccc2[C@@H]1Oc1cccc2ccccc12,,5.3979400086720375,0
3,CIVPMJLKYXGWQT-KKUMJFAQSA-N,COCC[C@H]1[C@]2(C)CNC[C@]12c1ccc(Cl)c(Cl)c1,,7.799970733446231,1
4,JAUOIFJMECXRGI-UHFFFAOYSA-N,Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,,5.411280220399943,0
5,CZRBQWFOPMBTQM-UHFFFAOYSA-N,CN1Cc2ccccc2C(c2cccc3occc23)C1,,7.366531544420414,1
6,IIVGYQYUSCHDRA-LIAHKDQHSA-N,Cc1ccc(-c2c(C)noc2[C@@H]2C3CCC(C[C@@H]2c2ccc(Cl)cc2)N3C)cc1,,6.8696662315049934,1
7,LCWPWPFSABPKJM-UHFFFAOYSA-N,COc1ccc2c(c1)C(O)(c1ccc(Cl)cc1)N1CCN=C21,,7.826715943942666,1
8,FZFWHCGLHYASKK-UHFFFAOYSA-N,FC(F)Oc1ccc(-c2ccc3c(c2)CN2CCC3(c3ccc(Cl)cc3)CC2)nn1,,7.24184537803261,1
9,SHDFPJWENXXDLR-STQMWFEESA-N,COC(=O)[C@@H](c1ccc(Cl)c(Cl)c1)[C@@H]1CCCCO1,,7.502314046985919,1
10,VXYNDBOWMKXSIO-UHFFFAOYSA-N,CNCc1cc(C(N)=O)ccc1Oc1ccc(Cl)cc1OC,,4.6777807052660805,0
