,compound_id,base_rdkit_smiles,relation,pchembl_value,active
0,CHEMBL4071830,CNc1nc(C#Cc2ccc(Br)s2)nc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@]2(C(=O)OC)C[C@H]12,,6.796666666666667,1
1,CHEMBL471696,Cc1ccc([C@H]2CC3CCC([C@H]2c2cc(-c4ccc(Cl)cc4)no2)N3C)cc1,,8.06,1
2,CHEMBL4541596,Cc1nc(C[S+]([O-])C(c2ccccc2)c2ccccc2)sc1C,,4.48,0
3,CHEMBL1813470,CN1C[C@H]2CCCC[C@@]2(c2ccc3ccccc3c2)C1,,7.21,1
4,CHEMBL2064645,CNC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NC)nc(C#Cc4ccc(F)c(F)c4)nc31)[C@H](O)[C@@H]2O,,7.03,1
5,CHEMBL457416,COC(=O)[C@H]1[C@@H](c2cc(I)c(OC)c(I)c2)C[C@H]2CC[C@H]1N2C,,5.89,0
6,CHEMBL2430698,O=C1NCC(c2ccccc2Cl)C1c1ccccc1,,5.67,0
7,CHEMBL222705,COC(=O)[C@@H]1C2CCC(C[C@H]1c1ccc(F)cc1)N2C,,7.68,1
8,CHEMBL218894,COc1ccc(C(CC(C)C)C2CCCCN2)cc1,,7.0,1
9,CHEMBL508112,c1ccc2sc(SSc3nc4ccccc4s3)nc2c1,,6.61,1
10,CHEMBL2112595,O=C(CCc1ccc(Br)cc1)N/C=C/NCCOC(c1ccc(F)cc1)c1ccc(F)cc1,,5.86,0
11,CHEMBL2430696,O=C1NCC(c2ccc(Cl)cc2)C1c1ccccc1,,7.49,1
12,CHEMBL512189,Cc1noc([C@@H]2C3CCC(C[C@@H]2c2ccc(Cl)cc2)N3C)c1-c1ccc(F)cc1,,6.96,1
13,CHEMBL260440,NCC1CC1(C(=O)N1CCc2ccccc21)c1ccccc1,,5.41,0
14,CHEMBL591928,CNC[C@@H](O)[C@H](c1ccccc1)N1CC(C)(C)c2cccc(F)c21,,4.68,0
15,CHEMBL828,c1ccc2c(c1)Nc1ccccc1S2,,4.73,0
16,CHEMBL2430697,O=C1NCC(c2cccc(Cl)c2)C1c1ccccc1,,7.64,1
17,CHEMBL3673129,Clc1ccc(C23CCN(Cc4cc(-c5ccc6ncnn6c5)ccc42)C3)cc1,,6.66,1
18,CHEMBL257423,CN(C)Cc1ccccc1Oc1ccc(Cl)cc1,,6.955,1
19,CHEMBL1099212,CN1CCN(C[C@@H](c2cccc(Cl)c2)C2(N)CCCCC2)CC1,,7.52,1
20,CHEMBL3673136,Clc1ccc(C23CCN(Cc4cc(-c5ccc6ncnn6c5)ccc42)C3)cc1Cl,,7.365,1
21,CHEMBL3323090,CN1Cc2ccccc2C(c2ccc3ccoc3c2)C1,,8.12,1
22,CHEMBL1813313,CN1C[C@@H]2CCCC[C@]2(c2ccc3ccccc3c2)C1,,7.1,1
23,CHEMBL379446,CCCC(C(=O)c1ccc([N+](=O)[O-])cc1)N1CCCC1,,5.96,0
24,CHEMBL566618,CC(NC1CCCC1)C(=O)c1cccc(Cl)c1,,6.01,1
25,CHEMBL4229008,C[C@]1(O)CC[C@@](CN)(c2ccc(Cl)c(Cl)c2)CC1,,5.58,0
26,CHEMBL1643655,Cc1cc([C@@H]2C3CCC(C[C@H]2c2ccc(Br)cc2)S3)on1,,7.33,1
27,CHEMBL103138,COC(=O)c1ccccc1-c1ccc(F)cc1,,4.8,0
28,CHEMBL1644608,N#Cc1ccccc1-c1cccc(O[C@H]2C[C@@H]3CC[C@H](C2)N3)c1,,5.09,0
29,CHEMBL1643666,Cc1cc([C@@H]2C3CCC(C[C@@H]2c2ccc(Cl)c(Cl)c2)S3)on1,,7.36,1
30,CHEMBL4066469,[O-][S+](Cc1cccs1)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,,5.14,0
31,CHEMBL4532284,Clc1cccc(N2CCN(CCCn3nnnc3C(c3ccccc3)c3ccccc3)CC2)c1,,5.32,0
32,CHEMBL364146,COC(=O)C1=C(c2ccc(I)cc2)CC2CCC1S2,,8.17,1
33,CHEMBL227232,CN1[C@H]2CC[C@@H]1[C@@H](c1ncc(-c3ccc([N+](=O)[O-])cc3)s1)[C@@H](c1ccc(Cl)cc1)C2,,7.52,1
34,CHEMBL185169,COC(=O)C1=C(c2ccc3ccccc3c2)CC2CCC1O2,,7.7,1
35,CHEMBL4094396,CNC(C)C(=O)c1ccc(C)cc1,,7.31,1
36,CHEMBL1201082,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,,4.984,0
37,CHEMBL3703749,Cc1ccc(C2CNCc3cc(-c4cccnn4)ccc32)cc1,,7.19,1
38,CHEMBL4552477,[O-][S@@+](Cc1cscn1)[C@H](c1ccccc1)c1ccc(Br)cc1,,5.52,0
39,CHEMBL4076722,[O-][S+](Cc1csc(Br)c1)C(c1ccccc1)c1ccccc1,,4.78,0
40,CHEMBL415,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,,5.56,0
41,CHEMBL464422,COc1ccc(F)cc1CCC1CCC(CCN)O1,,4.55,0
42,CHEMBL517423,CNC[C@]1(O)Cc2ccccc2[C@@H]1Oc1cccc(F)c1C,,5.52,0
43,CHEMBL1683886,CN(C)CC1(c2cccc(Cl)c2)CCCCC1,,7.38,1
44,CHEMBL3673156,Nc1cnc(Oc2ccc3c(c2)CN2CCC3(c3ccc(Cl)cc3)CC2)cn1,,6.99,1
45,CHEMBL1813314,CN1C[C@H]2CCCC[C@@]2(c2ccc(Cl)c(Cl)c2)C1,,7.26,1
46,CHEMBL493263,CN(C)Cc1ccccc1Sc1cccc(Cl)c1,,7.44,1
47,CHEMBL392016,Cc1cccc(CN(Cc2ccccn2)[C@@H]2CCNC2)c1C,,5.83,0
48,CHEMBL1200633,CC[C@H](C)[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@@H](O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2,,5.35,0
49,CHEMBL326466,CN(C)C[C@H]1C2CCC(C2)[C@@H]1c1ccc2ccccc2c1,,7.12,1
50,CHEMBL1173532,COC[C@@]12CNCC[C@]1(c1ccc(Cl)c(Cl)c1)C2,,8.399999999999999,1
51,CHEMBL1813312,CN1C[C@@H]2CCCC[C@]2(c2cccc3ccccc23)C1,,5.68,0
52,CHEMBL1173598,C[C@@H]1N(C)C(C)(C)CO[C@@]1(O)c1ccc(Cl)cc1,,5.54,0
